deltaP,Umax,Re,Cu,n,Nu0,NuInf,Lambda,AvgOmega,AvgNu,AvgVel,AvgP,PG,q,AvgVelOut
0.010000,7.09E-04,0.709038,1,0.5,0.4,0,564145,0.463516,0.552475,0.000534634,0.986084,2.51E-05,0.217815,0.000547273
0.010000,6.07E-04,0.485605,1,0.5,0.5,0,658971,0.438711,0.593135,0.000417747,0.986025,2.51E-05,0.170232,0.000427719
0.010000,5.40E-04,0.359959,1,0.5,0.6,0,740826,0.416311,0.634017,0.000335141,0.985987,2.51E-05,0.136605,0.000343229
0.010000,4.96E-04,0.283369,1,0.5,0.7,0,806621,0.395259,0.676662,0.000273842,0.985959,2.51E-05,0.111654,0.000280536
0.010000,4.63E-04,0.23163,1,0.5,0.8,0,863446,0.375742,0.720468,0.000228618,0.985938,2.51E-05,0.093235,0.000234259
0.000010,2.37E-06,0.00948956,1,0.6,0.1,0,168606000,0.548929,0.440577,6.28E-07,0.998781,2.51E-08,0.000252731,6.35E-07
0.000010,1.23E-06,0.00245549,1,0.6,0.2,0,325801000,0.481559,0.525529,3.21E-07,0.998781,2.51E-08,0.000129062,3.24E-07
0.000010,8.65E-07,0.00115274,1,0.6,0.3,0,462667000,0.432818,0.60348,2.13E-07,0.998781,2.51E-08,8.58E-05,2.16E-07
0.000010,6.92E-07,0.000692385,1,0.6,0.4,0,577714000,0.393632,0.680147,1.58E-07,0.998781,2.51E-08,6.34E-05,1.59E-07
0.000010,5.93E-07,0.000474207,1,0.6,0.5,0,674811000,0.360646,0.757601,1.24E-07,0.998781,2.51E-08,4.98E-05,1.25E-07
0.000010,5.32E-07,0.000354454,1,0.6,0.6,0,752331000,0.331804,0.837943,1.01E-07,0.998781,2.51E-08,4.06E-05,1.02E-07
0.000010,4.91E-07,0.000280402,1,0.6,0.7,0,815156000,0.306242,0.921796,8.46E-08,0.998781,2.51E-08,3.39E-05,8.52E-08
0.000010,4.58E-07,0.000229218,1,0.6,0.8,0,872533000,0.284002,1.00703,7.26E-08,0.998781,2.51E-08,2.91E-05,7.30E-08
0.000050,1.19E-05,0.0474522,1,0.6,0.1,0,33718100,0.548914,0.440593,3.14E-06,0.998731,1.25E-07,0.00126374,3.18E-06
0.000050,6.14E-06,0.0122786,1,0.6,0.2,0,65154000,0.481557,0.525532,1.60E-06,0.99873,1.25E-07,0.000645369,1.62E-06
0.000050,4.32E-06,0.00576423,1,0.6,0.3,0,92524700,0.432813,0.603488,1.07E-06,0.99873,1.25E-07,0.000428908,1.08E-06
0.000050,3.46E-06,0.00346225,1,0.6,0.4,0,115532000,0.393629,0.680154,7.88E-07,0.99873,1.25E-07,0.000317091,7.97E-07
0.000050,2.96E-06,0.00237126,1,0.6,0.5,0,134949000,0.360644,0.757607,6.19E-07,0.99873,1.25E-07,0.000249106,6.26E-07
0.000050,2.66E-06,0.00177234,1,0.6,0.6,0,150460000,0.331804,0.837942,5.05E-07,0.99873,1.25E-07,0.000202819,5.10E-07
0.000050,2.45E-06,0.00140207,1,0.6,0.7,0,163024000,0.306243,0.921795,4.23E-07,0.99873,1.25E-07,0.000169583,4.26E-07
0.000050,2.29E-06,0.00114614,1,0.6,0.8,0,174499000,0.284014,1.00698,3.63E-07,0.998729,1.25E-07,0.000145316,3.65E-07
0.000100,2.37E-05,0.0949154,1,0.6,0.1,0,16857100,0.548923,0.440583,6.28E-06,0.998668,2.51E-07,0.00252769,6.35E-06
0.000100,1.23E-05,0.0245601,1,0.6,0.2,0,32573200,0.481548,0.525546,3.21E-06,0.998667,2.51E-07,0.00129088,3.24E-06
